Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular
POST  ,/app/calls,Not Supported,Calls.JoinGroupCallsasGuest.All  Calls.JoinGroupCalls.All  Calls.Initiate.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/application-post-calls?view=graph-rest-beta
GET   ,/app/calls/{id},Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-get?view=graph-rest-beta
DELETE,/app/calls/{id},Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-delete?view=graph-rest-beta
POST  ,/app/calls/{id}/answer,Not Supported,Calls.JoinGroupCalls.All or Calls.JoinGroupCallsasGuest.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-answer?view=graph-rest-beta
GET   ,/app/calls/{id}/audioRoutingGroups,Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-list-audioroutinggroups?view=graph-rest-beta
POST  ,/app/calls/{id}/audioRoutingGroups,Not supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-post-audioroutinggroups?view=graph-rest-beta
GET   ,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-get?view=graph-rest-beta
PATCH ,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-update?view=graph-rest-beta
DELETE,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-delete?view=graph-rest-beta
POST  ,/app/calls/{id}/cancelMediaProcessing,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-cancelmediaprocessing?view=graph-rest-beta
POST  ,/app/calls/{id}/changeScreenSharingRole,Not Supported,Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-changescreensharingrole?view=graph-rest-beta
POST  ,/app/calls/{id}/mute,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-mute?view=graph-rest-beta
GET   ,/app/calls/{id}/participants,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-list-participants?view=graph-rest-beta
GET   ,/app/calls/{id}/participants/{id},Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-get?view=graph-rest-beta
DELETE,/app/calls/{id}/participants/{id},Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-delete?view=graph-rest-beta
POST  ,/app/calls/{id}/participants/{id}/mute,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-mute?view=graph-rest-beta
POST  ,/app/calls/{id}/participants/configureMixer,Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-configuremixer?view=graph-rest-beta
POST  ,/app/calls/{id}/participants/invite,Not supported,Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-invite?view=graph-rest-beta
POST  ,/app/calls/{id}/participants/muteAll,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-muteall?view=graph-rest-beta
POST  ,/app/calls/{id}/playPrompt,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-playprompt?view=graph-rest-beta
POST  ,/app/calls/{id}/recordResponse,Not Supported,Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-record?view=graph-rest-beta
POST  ,/app/calls/{id}/redirect,Not Supported,Calls.Initiate.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-redirect?view=graph-rest-beta
POST  ,/app/calls/{id}/reject,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-reject?view=graph-rest-beta
POST  ,/app/calls/{id}/subscribeToTone,Not Supported,Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-subscribetotone?view=graph-rest-beta
POST  ,/app/calls/{id}/transfer,Not Supported,Calls.Initiate.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-transfer?view=graph-rest-beta
POST  ,/app/calls/{id}/unmute,Not supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-unmute?view=graph-rest-beta
POST  ,/app/calls/{id}/updateMetadata,Not Supported,Calls.JoinGroupCallsasGuest.All  Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-updatemetadata?view=graph-rest-beta
POST  ,/app/calls/{id}/updateRecordingStatus,Not Supported,Calls.JoinGroupCalls.All  Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-updaterecordingstatus?view=graph-rest-beta
POST  ,/appCatalogs/teamsApps?requiresReview:{Boolean},AppCatalog.ReadWrite.All  Directory.ReadWrite.All,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/teamsapp-publish?view=graph-rest-beta
GET   ,/appCatalogs/teamsApps,AppCatalog.Read.All  AppCatalog.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,Not supported,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/teamsapp-list?view=graph-rest-beta
POST  ,/appCatalogs/teamsApps,AppCatalog.ReadWrite.All  Directory.ReadWrite.All,Not supported,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/teamsapp-publish?view=graph-rest-beta
DELETE,/appCatalogs/teamsApps/{id},AppCatalog.ReadWrite.All  Directory.ReadWrite.All,Not supported,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/teamsapp-delete?view=graph-rest-beta
POST  ,/appCatalogs/teamsApps/{id}/appDefinitions,AppCatalog.ReadWrite.All  Directory.ReadWrite.All,Not supported,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/teamsapp-update?view=graph-rest-beta
GET   ,/beta/teams/{id}/photo/$value,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All  Group.Read.All  Group.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/team-get-photo?view=graph-rest-beta
GET   ,/beta/teams/{id}/photo/{size}/$value,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All  Group.Read.All  Group.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/team-get-photo?view=graph-rest-beta
GET   ,/chats,Chat.ReadBasic  Chat.Read  Chat.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-list?view=graph-rest-beta
GET   ,/chats/{id},Chat.ReadBasic  Chat.Read  Chat.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-get?view=graph-rest-beta
GET   ,/chats/{id}/members,Chat.ReadBasic  Chat.Read  Chat.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/conversationmember-list?view=graph-rest-beta
GET   ,/chats/{id}/members/{id},For **user** or **chat** resource: Chat.ReadBasic  Chat.Read  Chat.ReadWrite<br/><br/>For **channel** resource: ChannelMember.Read.All  ChannelMember.ReadWrite  Group.Read.All  Group.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,For **user** or **chat** resource: Not supported.<br/><br/>For **channel** resource: Member.Read.Group*  ChannelMember.Read.All  ChannelMember.ReadWrite.All  Group.Read.All  Group.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/conversationmember-get?view=graph-rest-beta
GET   ,/chats/{id}/messages,Chat.Read  Chat.ReadWrite,Chat.Read.All  Chat.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-list-message?view=graph-rest-beta
POST  ,/chats/{id}/messages,ChatMessage.Send  Chat.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-post-message?view=graph-rest-beta
GET   ,/chats/{id}/messages/{id},Chat.Read  Chat.ReadWrite,Chat.Read.All  Chat.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-get-message?view=graph-rest-beta
GET   ,/chats/{id}/messages/{id}/hostedContents,For **user** or **chat** resource: Chat.Read  Chat.ReadWrite<br/><br/>For **channel** resource: ChannelMessage.Read.All  Group.Read.All  Group.Read.WriteAll,For **user** or **chat** resource: Chat.Read.All  Chat.ReadWrite.All<br/><br/>For **channel** resource: ChannelMessage.Read.Group*  ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chatmessage-list-chatmessagehostedcontents?view=graph-rest-beta
GET   ,/chats/{id}/messages/{id}/hostedContents/{id},For **user** or **chat** resource: Chat.Read  Chat.ReadWrite<br/><br/>For **channel** resource: ChannelMessage.Read.All  Group.Read.All  Group.Read.WriteAll,For **user** or **chat** resource: Chat.Read.All  Chat.ReadWrite.All<br/><br/>For **channel** resource: ChannelMessage.Read.Group*  ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chatmessagehostedcontent-get?view=graph-rest-beta
GET   ,/chats/{id}/messages/{id}/replies,Chat.Read  Chat.ReadWrite,Chat.Read.All  Chat.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chatmessage-list-replies?view=graph-rest-beta
GET   ,/communications/callRecords/getDirectRoutingCalls,Not supported,CallRecords.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/callrecords-callrecord-getdirectroutingcalls?view=graph-rest-beta
GET   ,/communications/callRecords/getPstnCalls,Not supported,CallRecords.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/callrecords-callrecord-getpstncalls?view=graph-rest-beta
POST  ,/communications/calls,Not Supported,Calls.JoinGroupCallsasGuest.All  Calls.JoinGroupCalls.All  Calls.Initiate.All  Calls.InitiateGroupCalls.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/application-post-calls?view=graph-rest-beta
GET   ,/communications/calls/{id},Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-get?view=graph-rest-beta
DELETE,/communications/calls/{id},Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-delete?view=graph-rest-beta
POST  ,/communications/calls/{id}/answer,Not Supported,Calls.JoinGroupCalls.All or Calls.JoinGroupCallsasGuest.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-answer?view=graph-rest-beta
GET   ,/communications/calls/{id}/audioRoutingGroups,Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-list-audioroutinggroups?view=graph-rest-beta
POST  ,/communications/calls/{id}/audioRoutingGroups,Not supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-post-audioroutinggroups?view=graph-rest-beta
GET   ,/communications/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-get?view=graph-rest-beta
PATCH ,/communications/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-update?view=graph-rest-beta
DELETE,/communications/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-delete?view=graph-rest-beta
POST  ,/communications/calls/{id}/cancelMediaProcessing,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-cancelmediaprocessing?view=graph-rest-beta
POST  ,/communications/calls/{id}/changeScreenSharingRole,Not Supported,Calls.AccessMedia.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-changescreensharingrole?view=graph-rest-beta
POST  ,/communications/calls/{id}/keepAlive,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-keepalive?view=graph-rest-beta
POST  ,/communications/calls/{id}/mute,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-mute?view=graph-rest-beta
GET   ,/communications/calls/{id}/participants,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-list-participants?view=graph-rest-beta
GET   ,/communications/calls/{id}/participants/{id},Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/participant-get?view=graph-rest-beta
DELETE,/communications/calls/{id}/participants/{id},Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/participant-delete?view=graph-rest-beta
POST  ,/communications/calls/{id}/participants/{id}/mute,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/participant-mute?view=graph-rest-beta
POST  ,/communications/calls/{id}/participants/configureMixer,Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-configuremixer?view=graph-rest-beta
POST  ,/communications/calls/{id}/participants/invite,Not supported,Calls.InitiateGroupCalls.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/participant-invite?view=graph-rest-beta
POST  ,/communications/calls/{id}/participants/muteAll,Not Supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/participant-muteall?view=graph-rest-beta
POST  ,/communications/calls/{id}/playPrompt,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-playprompt?view=graph-rest-beta
POST  ,/communications/calls/{id}/recordResponse,Not Supported,Calls.AccessMedia.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-record?view=graph-rest-beta
POST  ,/communications/calls/{id}/redirect,Not Supported,Calls.Initiate.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-redirect?view=graph-rest-beta
POST  ,/communications/calls/{id}/reject,Not Supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-reject?view=graph-rest-beta
POST  ,/communications/calls/{id}/subscribeToTone,Not Supported,Calls.AccessMedia.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-subscribetotone?view=graph-rest-beta
POST  ,/communications/calls/{id}/transfer,Not Supported,Calls.Initiate.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-transfer?view=graph-rest-beta
POST  ,/communications/calls/{id}/unmute,Not supported,None,IC3,True,True,True,https://docs.microsoft.com/graph/api/call-unmute?view=graph-rest-beta
POST  ,/communications/calls/{id}/updateMetadata,Not Supported,Calls.JoinGroupCallsasGuest.All  Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-updatemetadata?view=graph-rest-beta
