verb,resource,delegated,appPerms
POST  ,/app/calls,,
GET   ,/app/calls/{id},,
DELETE,/app/calls/{id},,
POST  ,/app/calls/{id}/answer,,
GET   ,/app/calls/{id}/audioRoutingGroups,,
POST  ,/app/calls/{id}/audioRoutingGroups,,
GET   ,/app/calls/{id}/audioRoutingGroups/{id},,
PATCH ,/app/calls/{id}/audioRoutingGroups/{id},,
DELETE,/app/calls/{id}/audioRoutingGroups/{id},,
POST  ,/app/calls/{id}/cancelMediaProcessing,,
POST  ,/app/calls/{id}/changeScreenSharingRole,,
POST  ,/app/calls/{id}/mute,,
GET   ,/app/calls/{id}/participants,,
GET   ,/app/calls/{id}/participants/{id},,
POST  ,/app/calls/{id}/participants/{id}/mute,,
POST  ,/app/calls/{id}/participants/configureMixer,,
POST  ,/app/calls/{id}/participants/invite,,
POST  ,/app/calls/{id}/participants/muteAll,,
POST  ,/app/calls/{id}/playPrompt,,
POST  ,/app/calls/{id}/recordResponse,,
POST  ,/app/calls/{id}/redirect,,
POST  ,/app/calls/{id}/reject,,
POST  ,/app/calls/{id}/subscribeToTone,,
POST  ,/app/calls/{id}/transfer,,
POST  ,/app/calls/{id}/unmute,,
POST  ,/app/calls/{id}/updateMetadata,,
POST  ,/app/calls/{id}/updateRecordingStatus,,
GET   ,/appCatalogs/teamsApps,"AppCatalog.Read.All,
AppCatalog.ReadWrite.All","AppCatalog.Read.All,
AppCatalog.ReadWrite.All"
POST  ,/appCatalogs/teamsApps,AppCatalog.ReadWrite.All,
PUT   ,/appCatalogs/teamsApps/{id},AppCatalog.ReadWrite.All,AppCatalog.ReadWrite.All
DELETE,/appCatalogs/teamsApps/{id},AppCatalog.ReadWrite.All,AppCatalog.ReadWrite.All
GET   ,/beta/teams/{id}/photo,"Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
PUT   ,/beta/teams/{id}/photo,"Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All","Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All"
GET   ,/beta/teams/{id}/photo/$value,"Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
GET   ,/beta/teams/{id}/photo/{size},"Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
GET   ,/beta/teams/{id}/photo/{size}/$value,"Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
GET   ,/chats,"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/chats/{id},"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/chats/{id}/members,"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
